scorer,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila,Hamila
bodyparts,earr,earr,earl,earl,eyer,eyer,eyel,eyel,nose,nose,throat,throat,elbowr,elbowr,elbowl,elbowl,handr,handr,handl,handl,tailbase,tailbase,tailtip,tailtip,kneer,kneer,kneel,kneel,ankler,ankler,anklel,anklel
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/p1/img02.png,764.6729609334461,345.68921142813406,1077.4280569039843,321.3049158100921,922.6407890677178,450.6477012623146,1036.080773029913,448.52732773031096,1000.034422985851,521.6802145844368,870.6916375336284,570.4488058205208,705.3025020373439,636.1803853126339,864.3305169376174,631.9396382486266,748.7701594434186,788.8472796168965,972.4695670698036,744.31943544482,522.9503782850302,422.02265858026544,264.2648073805851,814.2917620009403,432.8345031748751,688.1295368467232,631.0894284172161,708.273085400758,413.7511413868423,814.2917620009403,,
labeled-data/p1/img09.png,770.1590575136996,338.283274162931,1112.0948802643293,330.6279945491109,928.3681695326476,446.7330686920486,1061.059682838862,440.3536690138652,1021.5074048341252,514.3547052807925,862.0224128795404,551.3552234142561,650.226343563852,627.9080195524568,941.1269688890144,635.5632991662768,673.1921824053122,778.4618519575846,1061.059682838862,768.2548124724913,517.5348302576375,380.38731203894133,238.11712435320516,811.6347302841384,428.2232347630701,578.1487020626264,571.121787554378,712.1160953044775,372.0845175950563,729.9784144033911,,
labeled-data/p1/img12.png,759.448108981233,326.63017452392717,1100.5229701293133,303.8918504473885,930.5269282237622,434.9079082217305,1066.9568726829943,424.0801348519501,1024.728556540851,497.7089937664564,883.9675027337067,550.7650832783801,644.6737112615615,628.7250515407984,958.679138985191,623.3111648559083,642.5081565876055,769.4861053479427,1029.0596658887632,764.0722186630526,509.32654413930743,366.69293599211437,223.4733271771068,816.0455308379981,442.19434924666945,575.6689620288748,,,430.28379853991106,732.6716758906896,,
labeled-data/p1/img14.png,757.9019754413421,328.143081281342,1105.78946734732,303.6125530059204,929.6156733692927,432.95533845814293,1062.3035308590727,427.3802183955471,1025.5077384459405,498.7417551967734,869.4043766932581,563.4131479228846,651.974694252022,630.3145886740342,936.3058174444077,621.3943965738808,693.2305827152309,767.4625422138909,998.7471621454806,765.2324941888525,507.02157262453125,366.0538977069933,233.84068955733719,799.7982385769465,456.8454920611691,611.3591804612086,550.5075091127785,703.9061735002988,455.73046804865,766.3475182013717,,
labeled-data/p1/img18.png,762.2878459190664,310.0002876700805,1094.5431841577183,283.9874142136737,932.5539267246389,422.3286048682012,1060.2534873288182,421.14620152927364,1023.5989838220629,492.0904018649288,881.7105831507527,574.8586355898599,741.00458581837,635.1612058751668,906.5410532682318,623.337172485891,829.6848362379388,751.0367330900702,943.195556774987,758.1311531236357,525.8071781335492,353.7492112104012,236.11836009629064,808.974496697522,473.7814312207354,688.3693561269081,,,512.8007414053458,821.9809334257254,,
labeled-data/p1/img22.png,798.6890707292644,296.6300193436724,1124.224900954776,272.0190631066921,956.4229266117288,428.6342391602029,1087.3084665993058,418.5661206996201,1048.154672585928,486.8055902657927,926.2185712299802,574.0626169241773,799.807750558218,628.8779285429061,,,936.2866896905632,670.269082214191,,,550.3421487015543,357.0387301071694,244.94255539720817,801.154622201768,467.5598413589843,697.1173981090786,,,480.983999306428,822.4095389518873,,
labeled-data/p1/img25.png,827.4072823283627,303.1382578268998,1146.4832849141324,270.32547741914334,979.0249573159269,427.60052833907946,1106.8816533875297,427.60052833907946,1074.0688729797732,490.9631387816436,937.1603754163757,570.1664018348489,834.1961334472088,633.529012277413,,,971.1046310106065,691.2342467876053,,,556.9847127609905,369.895293828887,251.48641241291324,797.5929143161952,468.72964821599044,688.9712964146568,,,474.38702414836223,817.9594676727338,,
labeled-data/p1/img41.png,878.029872995411,430.30549825452727,1261.77178458264,421.4584224830637,1039.4890058246197,499.9762199548022,1179.9363336966026,490.0232597119058,1140.124492725017,561.9057503550467,978.6653598958083,618.3058583981265,844.8533388524229,661.435352784011,,,881.3475264097098,866.0239799991044,935.5358655099237,749.9061104986461,563.9586831084569,362.8465454971181,374.85243849342464,829.5297924418174,468.85261856522425,672.4941974983404,684.500090494647,727.7884210699872,464.4290806794925,828.4239079703846,772.5068532930654,832.4229968637474
